code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
O542402003,Le Céor à Saint-Just-sur-Viaur - Castelpers,Le Céor,SAINT-JUST-SUR-VIAUR,12,44.129477,2.392159,1.861,0.362,0.121,13
O543000101,Le Giffou à Réquista [Mln de Caillol],Le Giffou,REQUISTA,12,44.050696,2.563461,,,,
O546431001,Le Giffou à Saint-Just-sur-Viaur [La Fabrèguerie],Le Giffou,SAINT-JUST-SUR-VIAUR,12,44.108812,2.434795,2.2095,0.458,0.166,53
O548293002,Le Viaur à Saint-Just-sur-Viaur [Le Cambon],Le Viaur,SAINT-JUST-SUR-VIAUR,12,44.123749,2.365048,7.0901,1.676,0.83,34
O548293101,Le Viaur à Saint-Just-sur-Viaur [EDF - Roc Miquel],Le Viaur,SAINT-JUST-SUR-VIAUR,12,44.12683,2.357816,8.0827,1.81,0.83,62
O550000101,Le Lézert à Sauveterre-de-Rouergue [La Gazonne],Le Lézert,SAUVETERRE-DE-ROUERGUE,12,44.222209,2.328629,,,,
O554000101,Le ruisseau le Jaoul à la Salvetat-Peyralès [AEP],Ruisseau le Jaoul,SALVETAT-PEYRALES,12,44.276192,2.180745,,,,
O554000201,Le ruisseau le Jaoul à la Salvetat-Peyralès [Montou],Ruisseau le Jaoul,SALVETAT-PEYRALES,12,44.210527,2.162611,,,,
O711502001,Le Lot à Saint-Laurent-d'Olt,Le Lot,SAINT-LAURENT-D'OLT,12,44.448478,3.112849,25.9958,6.832,,
O714522003,La Boralde de Saint-Chély d'Aubrac à Castelnau-de-Mandailles - EDF,Boralde de Saint-Chély d'Aubrac,CASTELNAU-DE-MANDAILLES,12,44.530628,2.847042,1.9117,0.371,,1
O716151001,Le Lot à Espalion,Le Lot,ESPALION,12,44.523304,2.771259,75.9674,31.325,,
O719151001,Le Lot à Entraygues-sur-Truyère [amont],Le Lot,ENTRAYGUES-SUR-TRUYERE,12,44.631624,2.576498,31.8366,7.699,3.743,49
O722000101,Le ruisseau de Glassac à Pierrefiche [Source de Glassac] - Station de Glassac,Ruisseau de Glassac,PIERREFICHE,12,44.446604,2.944231,0.0589,0.039,0.021,18
O723403101,Le Lot à Lassouts [Castelnau - EDF],Le Lot,LASSOUTS,12,44.505988,2.874034,23.4029,5.8,2.326,76
O723403201,Le Lot à Lassouts [QNR Castelnau - EDF],Le Lot,LASSOUTS,12,44.505988,2.874034,22.9139,5.21,2.112,43
O754000201,Le Bès à Saint-Juéry [EDF],Le Bès,SAINT-JUERY,12,44.825775,3.087533,7.5975,1.542,0.656,68
O769251101,La Truyère à Sainte-Geneviève-sur-Argence [Sarrans EDF - QNR],La Truyère,ARGENCES EN AUBRAC,12,44.828874,2.740184,38.3429,8.8,2.32,90
O770154001,Le Lot à Entraygues-sur-Truyère - HE,Le Lot,ENTRAYGUES-SUR-TRUYERE,12,44.638889,2.560303,93.5079,23.402,15.887,31
O770154002,Le Lot à Entraygues-sur-Truyère - Roquepailhols,Le Lot,ENTRAYGUES-SUR-TRUYERE,12,44.639044,2.558625,80.1166,20.929,14.512,22
O773000101,La Bromme à Brommat [EDF],La Bromme,BROMMAT,12,44.825933,2.6844,3.3832,0.654,0.173,76
